Descriptor,Borough,hour,justHourSize
1 Missed Collection,BRONX,0,26
1 Missed Collection,BRONX,1,6
1 Missed Collection,BRONX,2,6
1 Missed Collection,BRONX,3,2
1 Missed Collection,BRONX,4,3
1 Missed Collection,BRONX,5,6
1 Missed Collection,BRONX,6,30
1 Missed Collection,BRONX,7,128
1 Missed Collection,BRONX,8,2049
1 Missed Collection,BRONX,9,1428
1 Missed Collection,BRONX,10,1005
1 Missed Collection,BRONX,11,836
1 Missed Collection,BRONX,12,567
1 Missed Collection,BRONX,13,474
1 Missed Collection,BRONX,14,394
1 Missed Collection,BRONX,15,395
1 Missed Collection,BRONX,16,290
1 Missed Collection,BRONX,17,285
1 Missed Collection,BRONX,18,181
1 Missed Collection,BRONX,19,141
1 Missed Collection,BRONX,20,138
1 Missed Collection,BRONX,21,88
1 Missed Collection,BRONX,22,53
1 Missed Collection,BRONX,23,36
1 Missed Collection,BROOKLYN,0,101
1 Missed Collection,BROOKLYN,1,54
1 Missed Collection,BROOKLYN,2,32
1 Missed Collection,BROOKLYN,3,19
1 Missed Collection,BROOKLYN,4,25
1 Missed Collection,BROOKLYN,5,28
1 Missed Collection,BROOKLYN,6,98
1 Missed Collection,BROOKLYN,7,448
1 Missed Collection,BROOKLYN,8,7482
1 Missed Collection,BROOKLYN,9,5832
1 Missed Collection,BROOKLYN,10,4355
1 Missed Collection,BROOKLYN,11,3275
1 Missed Collection,BROOKLYN,12,2534
1 Missed Collection,BROOKLYN,13,2024
1 Missed Collection,BROOKLYN,14,1776
1 Missed Collection,BROOKLYN,15,1586
1 Missed Collection,BROOKLYN,16,1442
1 Missed Collection,BROOKLYN,17,1093
1 Missed Collection,BROOKLYN,18,963
1 Missed Collection,BROOKLYN,19,761
1 Missed Collection,BROOKLYN,20,601
1 Missed Collection,BROOKLYN,21,488
1 Missed Collection,BROOKLYN,22,363
1 Missed Collection,BROOKLYN,23,270
1 Missed Collection,MANHATTAN,0,18
1 Missed Collection,MANHATTAN,1,4
1 Missed Collection,MANHATTAN,2,2
1 Missed Collection,MANHATTAN,3,6
1 Missed Collection,MANHATTAN,4,1
1 Missed Collection,MANHATTAN,5,5
1 Missed Collection,MANHATTAN,6,24
1 Missed Collection,MANHATTAN,7,102
1 Missed Collection,MANHATTAN,8,2125
1 Missed Collection,MANHATTAN,9,1760
1 Missed Collection,MANHATTAN,10,1220
1 Missed Collection,MANHATTAN,11,929
1 Missed Collection,MANHATTAN,12,657
1 Missed Collection,MANHATTAN,13,541
1 Missed Collection,MANHATTAN,14,469
1 Missed Collection,MANHATTAN,15,395
1 Missed Collection,MANHATTAN,16,298
1 Missed Collection,MANHATTAN,17,214
1 Missed Collection,MANHATTAN,18,189
1 Missed Collection,MANHATTAN,19,116
1 Missed Collection,MANHATTAN,20,93
1 Missed Collection,MANHATTAN,21,90
1 Missed Collection,MANHATTAN,22,71
1 Missed Collection,MANHATTAN,23,28
1 Missed Collection,QUEENS,0,82
1 Missed Collection,QUEENS,1,47
1 Missed Collection,QUEENS,2,26
1 Missed Collection,QUEENS,3,26
1 Missed Collection,QUEENS,4,13
1 Missed Collection,QUEENS,5,39
1 Missed Collection,QUEENS,6,122
1 Missed Collection,QUEENS,7,514
1 Missed Collection,QUEENS,8,8001
1 Missed Collection,QUEENS,9,5801
1 Missed Collection,QUEENS,10,4424
1 Missed Collection,QUEENS,11,3399
1 Missed Collection,QUEENS,12,2651
1 Missed Collection,QUEENS,13,2176
1 Missed Collection,QUEENS,14,1926
1 Missed Collection,QUEENS,15,1708
1 Missed Collection,QUEENS,16,1516
1 Missed Collection,QUEENS,17,1262
1 Missed Collection,QUEENS,18,988
1 Missed Collection,QUEENS,19,792
1 Missed Collection,QUEENS,20,644
1 Missed Collection,QUEENS,21,485
1 Missed Collection,QUEENS,22,297
1 Missed Collection,QUEENS,23,200
1 Missed Collection,STATEN ISLAND,0,45
1 Missed Collection,STATEN ISLAND,1,26
1 Missed Collection,STATEN ISLAND,2,17
1 Missed Collection,STATEN ISLAND,3,13
1 Missed Collection,STATEN ISLAND,4,7
1 Missed Collection,STATEN ISLAND,5,25
1 Missed Collection,STATEN ISLAND,6,80
1 Missed Collection,STATEN ISLAND,7,311
1 Missed Collection,STATEN ISLAND,8,4927
1 Missed Collection,STATEN ISLAND,9,3636
1 Missed Collection,STATEN ISLAND,10,2572
1 Missed Collection,STATEN ISLAND,11,1954
1 Missed Collection,STATEN ISLAND,12,1561
1 Missed Collection,STATEN ISLAND,13,1221
1 Missed Collection,STATEN ISLAND,14,1125
1 Missed Collection,STATEN ISLAND,15,995
1 Missed Collection,STATEN ISLAND,16,908
1 Missed Collection,STATEN ISLAND,17,764
1 Missed Collection,STATEN ISLAND,18,608
1 Missed Collection,STATEN ISLAND,19,478
1 Missed Collection,STATEN ISLAND,20,392
1 Missed Collection,STATEN ISLAND,21,238
1 Missed Collection,STATEN ISLAND,22,155
1 Missed Collection,STATEN ISLAND,23,79
1 Missed Collection,Unspecified,8,2
1 Missed Collection,Unspecified,9,3
1 Missed Collection,Unspecified,11,1
1 Missed Collection,Unspecified,12,1
1 Missed Collection,Unspecified,14,1
1 Missed Collection,Unspecified,17,1
1 Missed Collection,Unspecified,23,1
1 or 2,BRONX,0,835
1 or 2,BRONX,1,14
1 or 2,BRONX,2,19
1 or 2,BRONX,3,10
1 or 2,BRONX,4,7
1 or 2,BRONX,5,12
1 or 2,BRONX,6,21
1 or 2,BRONX,7,38
1 or 2,BRONX,8,60
1 or 2,BRONX,9,119
1 or 2,BRONX,10,157
1 or 2,BRONX,11,142
1 or 2,BRONX,12,137
1 or 2,BRONX,13,161
1 or 2,BRONX,14,169
1 or 2,BRONX,15,178
1 or 2,BRONX,16,151
1 or 2,BRONX,17,122
1 or 2,BRONX,18,116
1 or 2,BRONX,19,113
1 or 2,BRONX,20,70
1 or 2,BRONX,21,61
1 or 2,BRONX,22,52
1 or 2,BRONX,23,38
1 or 2,BROOKLYN,0,2008
1 or 2,BROOKLYN,1,41
1 or 2,BROOKLYN,2,31
1 or 2,BROOKLYN,3,24
1 or 2,BROOKLYN,4,21
1 or 2,BROOKLYN,5,24
1 or 2,BROOKLYN,6,30
1 or 2,BROOKLYN,7,76
1 or 2,BROOKLYN,8,132
1 or 2,BROOKLYN,9,257
1 or 2,BROOKLYN,10,322
1 or 2,BROOKLYN,11,396
1 or 2,BROOKLYN,12,341
1 or 2,BROOKLYN,13,372
1 or 2,BROOKLYN,14,384
1 or 2,BROOKLYN,15,305
1 or 2,BROOKLYN,16,315
1 or 2,BROOKLYN,17,244
1 or 2,BROOKLYN,18,211
1 or 2,BROOKLYN,19,203
1 or 2,BROOKLYN,20,173
1 or 2,BROOKLYN,21,150
1 or 2,BROOKLYN,22,136
1 or 2,BROOKLYN,23,78
1 or 2,MANHATTAN,0,3568
1 or 2,MANHATTAN,1,61
1 or 2,MANHATTAN,2,44
1 or 2,MANHATTAN,3,39
1 or 2,MANHATTAN,4,30
1 or 2,MANHATTAN,5,43
1 or 2,MANHATTAN,6,53
1 or 2,MANHATTAN,7,120
1 or 2,MANHATTAN,8,257
1 or 2,MANHATTAN,9,456
1 or 2,MANHATTAN,10,579
1 or 2,MANHATTAN,11,605
1 or 2,MANHATTAN,12,648
1 or 2,MANHATTAN,13,603
1 or 2,MANHATTAN,14,573
1 or 2,MANHATTAN,15,534
1 or 2,MANHATTAN,16,514
1 or 2,MANHATTAN,17,412
1 or 2,MANHATTAN,18,332
1 or 2,MANHATTAN,19,297
1 or 2,MANHATTAN,20,282
1 or 2,MANHATTAN,21,249
1 or 2,MANHATTAN,22,223
1 or 2,MANHATTAN,23,161
1 or 2,QUEENS,0,1693
1 or 2,QUEENS,1,30
1 or 2,QUEENS,2,27
1 or 2,QUEENS,3,24
1 or 2,QUEENS,4,19
1 or 2,QUEENS,5,16
1 or 2,QUEENS,6,32
1 or 2,QUEENS,7,59
1 or 2,QUEENS,8,103
1 or 2,QUEENS,9,213
1 or 2,QUEENS,10,274
1 or 2,QUEENS,11,275
1 or 2,QUEENS,12,309
1 or 2,QUEENS,13,326
1 or 2,QUEENS,14,318
1 or 2,QUEENS,15,302
1 or 2,QUEENS,16,262
1 or 2,QUEENS,17,221
1 or 2,QUEENS,18,171
1 or 2,QUEENS,19,159
1 or 2,QUEENS,20,152
1 or 2,QUEENS,21,142
1 or 2,QUEENS,22,118
1 or 2,QUEENS,23,68
1 or 2,STATEN ISLAND,0,261
1 or 2,STATEN ISLAND,1,9
1 or 2,STATEN ISLAND,2,6
1 or 2,STATEN ISLAND,3,3
1 or 2,STATEN ISLAND,4,3
1 or 2,STATEN ISLAND,5,5
1 or 2,STATEN ISLAND,6,3
1 or 2,STATEN ISLAND,7,16
1 or 2,STATEN ISLAND,8,30
1 or 2,STATEN ISLAND,9,45
1 or 2,STATEN ISLAND,10,47
1 or 2,STATEN ISLAND,11,57
1 or 2,STATEN ISLAND,12,72
1 or 2,STATEN ISLAND,13,59
1 or 2,STATEN ISLAND,14,65
1 or 2,STATEN ISLAND,15,56
1 or 2,STATEN ISLAND,16,49
1 or 2,STATEN ISLAND,17,37
1 or 2,STATEN ISLAND,18,29
1 or 2,STATEN ISLAND,19,25
1 or 2,STATEN ISLAND,20,36
1 or 2,STATEN ISLAND,21,22
1 or 2,STATEN ISLAND,22,24
1 or 2,STATEN ISLAND,23,10
1 or 2,Unspecified,0,22
1 or 2,Unspecified,11,1
1 or 2,Unspecified,13,1
1 or 2,Unspecified,14,1
1 or 2,Unspecified,15,2
1 or 2,Unspecified,16,1
1 or 2,Unspecified,17,1
1 or 2,Unspecified,19,1
1 or 2,Unspecified,22,1
10 Litter Basket / Request,BRONX,0,16
10 Litter Basket / Request,BRONX,1,11
10 Litter Basket / Request,BRONX,2,10
10 Litter Basket / Request,BRONX,3,13
10 Litter Basket / Request,BRONX,4,20
10 Litter Basket / Request,BRONX,5,17
10 Litter Basket / Request,BRONX,6,40
10 Litter Basket / Request,BRONX,7,84
10 Litter Basket / Request,BRONX,8,244
10 Litter Basket / Request,BRONX,9,255
10 Litter Basket / Request,BRONX,10,253
10 Litter Basket / Request,BRONX,11,303
10 Litter Basket / Request,BRONX,12,253
10 Litter Basket / Request,BRONX,13,213
10 Litter Basket / Request,BRONX,14,226
10 Litter Basket / Request,BRONX,15,180
10 Litter Basket / Request,BRONX,16,159
10 Litter Basket / Request,BRONX,17,95
10 Litter Basket / Request,BRONX,18,84
10 Litter Basket / Request,BRONX,19,62
10 Litter Basket / Request,BRONX,20,61
10 Litter Basket / Request,BRONX,21,41
10 Litter Basket / Request,BRONX,22,46
10 Litter Basket / Request,BRONX,23,22
10 Litter Basket / Request,BROOKLYN,0,55
10 Litter Basket / Request,BROOKLYN,1,40
10 Litter Basket / Request,BROOKLYN,2,22
10 Litter Basket / Request,BROOKLYN,3,31
10 Litter Basket / Request,BROOKLYN,4,40
10 Litter Basket / Request,BROOKLYN,5,48
10 Litter Basket / Request,BROOKLYN,6,168
10 Litter Basket / Request,BROOKLYN,7,423
10 Litter Basket / Request,BROOKLYN,8,840
10 Litter Basket / Request,BROOKLYN,9,999
10 Litter Basket / Request,BROOKLYN,10,959
10 Litter Basket / Request,BROOKLYN,11,1036
10 Litter Basket / Request,BROOKLYN,12,780
10 Litter Basket / Request,BROOKLYN,13,793
10 Litter Basket / Request,BROOKLYN,14,754
10 Litter Basket / Request,BROOKLYN,15,725
10 Litter Basket / Request,BROOKLYN,16,558
10 Litter Basket / Request,BROOKLYN,17,433
10 Litter Basket / Request,BROOKLYN,18,351
10 Litter Basket / Request,BROOKLYN,19,281
10 Litter Basket / Request,BROOKLYN,20,229
10 Litter Basket / Request,BROOKLYN,21,187
10 Litter Basket / Request,BROOKLYN,22,146
10 Litter Basket / Request,BROOKLYN,23,115
10 Litter Basket / Request,MANHATTAN,0,44
10 Litter Basket / Request,MANHATTAN,1,21
10 Litter Basket / Request,MANHATTAN,2,13
10 Litter Basket / Request,MANHATTAN,3,19
10 Litter Basket / Request,MANHATTAN,4,26
10 Litter Basket / Request,MANHATTAN,5,34
10 Litter Basket / Request,MANHATTAN,6,67
10 Litter Basket / Request,MANHATTAN,7,220
10 Litter Basket / Request,MANHATTAN,8,517
10 Litter Basket / Request,MANHATTAN,9,614
10 Litter Basket / Request,MANHATTAN,10,629
10 Litter Basket / Request,MANHATTAN,11,598
10 Litter Basket / Request,MANHATTAN,12,500
10 Litter Basket / Request,MANHATTAN,13,455
10 Litter Basket / Request,MANHATTAN,14,412
10 Litter Basket / Request,MANHATTAN,15,394
10 Litter Basket / Request,MANHATTAN,16,400
10 Litter Basket / Request,MANHATTAN,17,288
10 Litter Basket / Request,MANHATTAN,18,214
10 Litter Basket / Request,MANHATTAN,19,146
10 Litter Basket / Request,MANHATTAN,20,169
10 Litter Basket / Request,MANHATTAN,21,124
10 Litter Basket / Request,MANHATTAN,22,123
10 Litter Basket / Request,MANHATTAN,23,76
10 Litter Basket / Request,QUEENS,0,22
10 Litter Basket / Request,QUEENS,1,24
10 Litter Basket / Request,QUEENS,2,8
10 Litter Basket / Request,QUEENS,3,14
10 Litter Basket / Request,QUEENS,4,16
10 Litter Basket / Request,QUEENS,5,23
10 Litter Basket / Request,QUEENS,6,65
10 Litter Basket / Request,QUEENS,7,129
10 Litter Basket / Request,QUEENS,8,398
10 Litter Basket / Request,QUEENS,9,532
10 Litter Basket / Request,QUEENS,10,601
10 Litter Basket / Request,QUEENS,11,650
10 Litter Basket / Request,QUEENS,12,519
10 Litter Basket / Request,QUEENS,13,459
10 Litter Basket / Request,QUEENS,14,492
10 Litter Basket / Request,QUEENS,15,484
10 Litter Basket / Request,QUEENS,16,361
10 Litter Basket / Request,QUEENS,17,248
10 Litter Basket / Request,QUEENS,18,163
10 Litter Basket / Request,QUEENS,19,134
10 Litter Basket / Request,QUEENS,20,117
10 Litter Basket / Request,QUEENS,21,94
10 Litter Basket / Request,QUEENS,22,86
10 Litter Basket / Request,QUEENS,23,63
10 Litter Basket / Request,STATEN ISLAND,0,9
10 Litter Basket / Request,STATEN ISLAND,1,8
10 Litter Basket / Request,STATEN ISLAND,2,8
10 Litter Basket / Request,STATEN ISLAND,3,7
10 Litter Basket / Request,STATEN ISLAND,4,5
10 Litter Basket / Request,STATEN ISLAND,5,7
10 Litter Basket / Request,STATEN ISLAND,6,16
10 Litter Basket / Request,STATEN ISLAND,7,62
10 Litter Basket / Request,STATEN ISLAND,8,158
10 Litter Basket / Request,STATEN ISLAND,9,191
10 Litter Basket / Request,STATEN ISLAND,10,179
10 Litter Basket / Request,STATEN ISLAND,11,208
10 Litter Basket / Request,STATEN ISLAND,12,178
10 Litter Basket / Request,STATEN ISLAND,13,154
10 Litter Basket / Request,STATEN ISLAND,14,159
10 Litter Basket / Request,STATEN ISLAND,15,138
10 Litter Basket / Request,STATEN ISLAND,16,112
10 Litter Basket / Request,STATEN ISLAND,17,97
10 Litter Basket / Request,STATEN ISLAND,18,58
10 Litter Basket / Request,STATEN ISLAND,19,44
10 Litter Basket / Request,STATEN ISLAND,20,36
10 Litter Basket / Request,STATEN ISLAND,21,23
10 Litter Basket / Request,STATEN ISLAND,22,15
10 Litter Basket / Request,STATEN ISLAND,23,13
10 Litter Basket / Request,Unspecified,1,1
10 Litter Basket / Request,Unspecified,6,1
10 Litter Basket / Request,Unspecified,8,4
10 Litter Basket / Request,Unspecified,9,3
10 Litter Basket / Request,Unspecified,10,6
10 Litter Basket / Request,Unspecified,11,6
10 Litter Basket / Request,Unspecified,12,6
10 Litter Basket / Request,Unspecified,13,6
10 Litter Basket / Request,Unspecified,14,7
10 Litter Basket / Request,Unspecified,15,4
10 Litter Basket / Request,Unspecified,16,3
10 Litter Basket / Request,Unspecified,17,3
10 Litter Basket / Request,Unspecified,18,5
10 Litter Basket / Request,Unspecified,20,3
10 Litter Basket / Request,Unspecified,21,4
10 Litter Basket / Request,Unspecified,22,2
10A Adopt-A-Basket,BRONX,0,1
10A Adopt-A-Basket,BRONX,1,1
10A Adopt-A-Basket,BRONX,2,1
10A Adopt-A-Basket,BRONX,5,1
10A Adopt-A-Basket,BRONX,6,1
10A Adopt-A-Basket,BRONX,8,5
10A Adopt-A-Basket,BRONX,9,2
10A Adopt-A-Basket,BRONX,10,3
10A Adopt-A-Basket,BRONX,11,8
10A Adopt-A-Basket,BRONX,12,10
10A Adopt-A-Basket,BRONX,13,7
10A Adopt-A-Basket,BRONX,14,11
10A Adopt-A-Basket,BRONX,15,2
10A Adopt-A-Basket,BRONX,16,2
10A Adopt-A-Basket,BRONX,17,5
10A Adopt-A-Basket,BRONX,18,3
10A Adopt-A-Basket,BRONX,19,4
10A Adopt-A-Basket,BRONX,20,3
10A Adopt-A-Basket,BRONX,21,2
10A Adopt-A-Basket,BRONX,22,2
10A Adopt-A-Basket,BRONX,23,4
10A Adopt-A-Basket,BROOKLYN,0,1
10A Adopt-A-Basket,BROOKLYN,1,1
10A Adopt-A-Basket,BROOKLYN,2,1
10A Adopt-A-Basket,BROOKLYN,3,1
10A Adopt-A-Basket,BROOKLYN,4,2
10A Adopt-A-Basket,BROOKLYN,6,3
10A Adopt-A-Basket,BROOKLYN,7,5
10A Adopt-A-Basket,BROOKLYN,8,7
10A Adopt-A-Basket,BROOKLYN,9,7
10A Adopt-A-Basket,BROOKLYN,10,16
10A Adopt-A-Basket,BROOKLYN,11,20
10A Adopt-A-Basket,BROOKLYN,12,17
10A Adopt-A-Basket,BROOKLYN,13,12
10A Adopt-A-Basket,BROOKLYN,14,9
10A Adopt-A-Basket,BROOKLYN,15,8
10A Adopt-A-Basket,BROOKLYN,16,8
10A Adopt-A-Basket,BROOKLYN,17,7
10A Adopt-A-Basket,BROOKLYN,18,1
10A Adopt-A-Basket,BROOKLYN,19,3
10A Adopt-A-Basket,BROOKLYN,20,2
10A Adopt-A-Basket,BROOKLYN,21,3
10A Adopt-A-Basket,BROOKLYN,22,3
10A Adopt-A-Basket,BROOKLYN,23,4
10A Adopt-A-Basket,MANHATTAN,0,1
10A Adopt-A-Basket,MANHATTAN,1,1
10A Adopt-A-Basket,MANHATTAN,4,2
10A Adopt-A-Basket,MANHATTAN,8,8
10A Adopt-A-Basket,MANHATTAN,9,12
10A Adopt-A-Basket,MANHATTAN,10,6
10A Adopt-A-Basket,MANHATTAN,11,20
10A Adopt-A-Basket,MANHATTAN,12,26
10A Adopt-A-Basket,MANHATTAN,13,16
10A Adopt-A-Basket,MANHATTAN,14,30
10A Adopt-A-Basket,MANHATTAN,15,25
10A Adopt-A-Basket,MANHATTAN,16,9
10A Adopt-A-Basket,MANHATTAN,17,12
10A Adopt-A-Basket,MANHATTAN,18,4
10A Adopt-A-Basket,MANHATTAN,19,5
10A Adopt-A-Basket,MANHATTAN,20,1
10A Adopt-A-Basket,MANHATTAN,21,4
10A Adopt-A-Basket,MANHATTAN,22,4
10A Adopt-A-Basket,MANHATTAN,23,2
10A Adopt-A-Basket,QUEENS,0,3
10A Adopt-A-Basket,QUEENS,1,1
10A Adopt-A-Basket,QUEENS,2,1
10A Adopt-A-Basket,QUEENS,3,2
10A Adopt-A-Basket,QUEENS,4,1
10A Adopt-A-Basket,QUEENS,7,5
10A Adopt-A-Basket,QUEENS,8,9
10A Adopt-A-Basket,QUEENS,9,10
10A Adopt-A-Basket,QUEENS,10,12
10A Adopt-A-Basket,QUEENS,11,13
10A Adopt-A-Basket,QUEENS,12,10
10A Adopt-A-Basket,QUEENS,13,17
10A Adopt-A-Basket,QUEENS,14,13
10A Adopt-A-Basket,QUEENS,15,5
10A Adopt-A-Basket,QUEENS,16,4
10A Adopt-A-Basket,QUEENS,17,3
10A Adopt-A-Basket,QUEENS,18,6
10A Adopt-A-Basket,QUEENS,19,5
10A Adopt-A-Basket,QUEENS,20,4
10A Adopt-A-Basket,QUEENS,21,1
10A Adopt-A-Basket,STATEN ISLAND,0,1
10A Adopt-A-Basket,STATEN ISLAND,1,1
10A Adopt-A-Basket,STATEN ISLAND,2,1
10A Adopt-A-Basket,STATEN ISLAND,7,1
10A Adopt-A-Basket,STATEN ISLAND,8,6
10A Adopt-A-Basket,STATEN ISLAND,9,3
10A Adopt-A-Basket,STATEN ISLAND,10,1
10A Adopt-A-Basket,STATEN ISLAND,11,6
10A Adopt-A-Basket,STATEN ISLAND,12,3
10A Adopt-A-Basket,STATEN ISLAND,13,5
10A Adopt-A-Basket,STATEN ISLAND,14,2
10A Adopt-A-Basket,STATEN ISLAND,15,3
10A Adopt-A-Basket,STATEN ISLAND,16,4
10A Adopt-A-Basket,STATEN ISLAND,18,1
10A Adopt-A-Basket,STATEN ISLAND,19,1
10A Adopt-A-Basket,STATEN ISLAND,20,1
10A Adopt-A-Basket,STATEN ISLAND,23,1
10A Adopt-A-Basket,Unspecified,10,1
12 Dead Animals,BRONX,0,80
12 Dead Animals,BRONX,1,60
12 Dead Animals,BRONX,2,36
12 Dead Animals,BRONX,3,25
12 Dead Animals,BRONX,4,30
12 Dead Animals,BRONX,5,59
12 Dead Animals,BRONX,6,281
12 Dead Animals,BRONX,7,783
12 Dead Animals,BRONX,8,1084
12 Dead Animals,BRONX,9,940
12 Dead Animals,BRONX,10,746
12 Dead Animals,BRONX,11,724
12 Dead Animals,BRONX,12,693
12 Dead Animals,BRONX,13,598
12 Dead Animals,BRONX,14,608
12 Dead Animals,BRONX,15,695
12 Dead Animals,BRONX,16,631
12 Dead Animals,BRONX,17,556
12 Dead Animals,BRONX,18,457
12 Dead Animals,BRONX,19,366
12 Dead Animals,BRONX,20,314
12 Dead Animals,BRONX,21,303
12 Dead Animals,BRONX,22,237
12 Dead Animals,BRONX,23,137
12 Dead Animals,BROOKLYN,0,291
12 Dead Animals,BROOKLYN,1,221
12 Dead Animals,BROOKLYN,2,124
12 Dead Animals,BROOKLYN,3,81
12 Dead Animals,BROOKLYN,4,66
12 Dead Animals,BROOKLYN,5,174
12 Dead Animals,BROOKLYN,6,717
12 Dead Animals,BROOKLYN,7,2013
12 Dead Animals,BROOKLYN,8,2973
12 Dead Animals,BROOKLYN,9,2757
12 Dead Animals,BROOKLYN,10,2314
12 Dead Animals,BROOKLYN,11,2142
12 Dead Animals,BROOKLYN,12,1990
12 Dead Animals,BROOKLYN,13,1723
12 Dead Animals,BROOKLYN,14,1923
12 Dead Animals,BROOKLYN,15,1967
12 Dead Animals,BROOKLYN,16,1772
12 Dead Animals,BROOKLYN,17,1646
12 Dead Animals,BROOKLYN,18,1485
12 Dead Animals,BROOKLYN,19,1185
12 Dead Animals,BROOKLYN,20,1068
12 Dead Animals,BROOKLYN,21,1025
12 Dead Animals,BROOKLYN,22,862
12 Dead Animals,BROOKLYN,23,636
12 Dead Animals,MANHATTAN,0,40
12 Dead Animals,MANHATTAN,1,29
12 Dead Animals,MANHATTAN,2,18
12 Dead Animals,MANHATTAN,3,15
12 Dead Animals,MANHATTAN,4,19
12 Dead Animals,MANHATTAN,5,18
12 Dead Animals,MANHATTAN,6,96
12 Dead Animals,MANHATTAN,7,280
12 Dead Animals,MANHATTAN,8,405
12 Dead Animals,MANHATTAN,9,395
12 Dead Animals,MANHATTAN,10,310
12 Dead Animals,MANHATTAN,11,314
12 Dead Animals,MANHATTAN,12,295
12 Dead Animals,MANHATTAN,13,260
12 Dead Animals,MANHATTAN,14,278
12 Dead Animals,MANHATTAN,15,262
12 Dead Animals,MANHATTAN,16,239
12 Dead Animals,MANHATTAN,17,222
12 Dead Animals,MANHATTAN,18,201
12 Dead Animals,MANHATTAN,19,123
12 Dead Animals,MANHATTAN,20,127
12 Dead Animals,MANHATTAN,21,109
12 Dead Animals,MANHATTAN,22,88
12 Dead Animals,MANHATTAN,23,61
12 Dead Animals,QUEENS,0,244
12 Dead Animals,QUEENS,1,134
12 Dead Animals,QUEENS,2,116
12 Dead Animals,QUEENS,3,62
12 Dead Animals,QUEENS,4,50
12 Dead Animals,QUEENS,5,171
12 Dead Animals,QUEENS,6,692
12 Dead Animals,QUEENS,7,1740
12 Dead Animals,QUEENS,8,2572
12 Dead Animals,QUEENS,9,2250
12 Dead Animals,QUEENS,10,1902
12 Dead Animals,QUEENS,11,1830
12 Dead Animals,QUEENS,12,1749
12 Dead Animals,QUEENS,13,1537
12 Dead Animals,QUEENS,14,1585
12 Dead Animals,QUEENS,15,1556
12 Dead Animals,QUEENS,16,1473
12 Dead Animals,QUEENS,17,1370
12 Dead Animals,QUEENS,18,1228
12 Dead Animals,QUEENS,19,961
12 Dead Animals,QUEENS,20,872
12 Dead Animals,QUEENS,21,733
12 Dead Animals,QUEENS,22,620
12 Dead Animals,QUEENS,23,390
12 Dead Animals,STATEN ISLAND,0,82
12 Dead Animals,STATEN ISLAND,1,57
12 Dead Animals,STATEN ISLAND,2,36
12 Dead Animals,STATEN ISLAND,3,33
12 Dead Animals,STATEN ISLAND,4,28
12 Dead Animals,STATEN ISLAND,5,80
12 Dead Animals,STATEN ISLAND,6,310
12 Dead Animals,STATEN ISLAND,7,733
12 Dead Animals,STATEN ISLAND,8,961
12 Dead Animals,STATEN ISLAND,9,1011
12 Dead Animals,STATEN ISLAND,10,834
12 Dead Animals,STATEN ISLAND,11,752
12 Dead Animals,STATEN ISLAND,12,747
12 Dead Animals,STATEN ISLAND,13,664
12 Dead Animals,STATEN ISLAND,14,665
12 Dead Animals,STATEN ISLAND,15,646
12 Dead Animals,STATEN ISLAND,16,644
12 Dead Animals,STATEN ISLAND,17,589
12 Dead Animals,STATEN ISLAND,18,507
12 Dead Animals,STATEN ISLAND,19,411
12 Dead Animals,STATEN ISLAND,20,377
12 Dead Animals,STATEN ISLAND,21,305
12 Dead Animals,STATEN ISLAND,22,196
12 Dead Animals,STATEN ISLAND,23,150
12 Dead Animals,Unspecified,0,2
12 Dead Animals,Unspecified,5,1
12 Dead Animals,Unspecified,6,6
12 Dead Animals,Unspecified,7,15
12 Dead Animals,Unspecified,8,23
12 Dead Animals,Unspecified,9,13
12 Dead Animals,Unspecified,10,4
12 Dead Animals,Unspecified,11,10
12 Dead Animals,Unspecified,12,9
12 Dead Animals,Unspecified,13,10
12 Dead Animals,Unspecified,14,8
12 Dead Animals,Unspecified,15,9
12 Dead Animals,Unspecified,16,9
12 Dead Animals,Unspecified,17,10
12 Dead Animals,Unspecified,18,12
12 Dead Animals,Unspecified,19,5
12 Dead Animals,Unspecified,20,2
12 Dead Animals,Unspecified,21,10
12 Dead Animals,Unspecified,22,6
12 Dead Animals,Unspecified,23,3
12P Dead Deer,STATEN ISLAND,4,2
12P Dead Deer,STATEN ISLAND,6,1
12P Dead Deer,STATEN ISLAND,7,3
12P Dead Deer,STATEN ISLAND,8,3
12P Dead Deer,STATEN ISLAND,9,5
12P Dead Deer,STATEN ISLAND,10,2
12P Dead Deer,STATEN ISLAND,11,5
12P Dead Deer,STATEN ISLAND,12,3
12P Dead Deer,STATEN ISLAND,13,4
12P Dead Deer,STATEN ISLAND,14,3
12P Dead Deer,STATEN ISLAND,15,3
12P Dead Deer,STATEN ISLAND,16,4
12P Dead Deer,STATEN ISLAND,18,3
12P Dead Deer,STATEN ISLAND,22,1
14 Derelict Vehicles,BRONX,0,380
14 Derelict Vehicles,BRONX,1,279
14 Derelict Vehicles,BRONX,2,156
14 Derelict Vehicles,BRONX,3,128
14 Derelict Vehicles,BRONX,4,137
14 Derelict Vehicles,BRONX,5,237
14 Derelict Vehicles,BRONX,6,676
14 Derelict Vehicles,BRONX,7,1670
14 Derelict Vehicles,BRONX,8,2480
14 Derelict Vehicles,BRONX,9,2993
14 Derelict Vehicles,BRONX,10,2656
14 Derelict Vehicles,BRONX,11,2554
14 Derelict Vehicles,BRONX,12,2402
14 Derelict Vehicles,BRONX,13,2131
14 Derelict Vehicles,BRONX,14,2063
